Initial GenePool BestElite's Error Rate: 11.0%

   1-th training, BestElite's ErrorRate: 11.0%
 127-th training, BestElite's ErrorRate: 12.0%
 128-th training, BestElite's ErrorRate: 12.0%
 129-th training, BestElite's ErrorRate: 12.0%
 130-th training, BestElite's ErrorRate: 12.0%
 131-th training, BestElite's ErrorRate: 12.0%
 132-th training, BestElite's ErrorRate: 12.0%
 133-th training, BestElite's ErrorRate: 12.0%
 134-th training, BestElite's ErrorRate: 12.0%
 135-th training, BestElite's ErrorRate: 12.0%
 136-th training, BestElite's ErrorRate: 12.0%
 137-th training, BestElite's ErrorRate: 12.0%
 138-th training, BestElite's ErrorRate: 12.0%
 139-th training, BestElite's ErrorRate: 12.0%
 140-th training, BestElite's ErrorRate: 12.0%
 141-th training, BestElite's ErrorRate: 12.0%
 142-th training, BestElite's ErrorRate: 12.0%
 143-th training, BestElite's ErrorRate: 12.0%
 144-th training, BestElite's ErrorRate: 12.0%
 145-th training, BestElite's ErrorRate: 11.0%
 146-th training, BestElite's ErrorRate: 11.0%
 147-th training, BestElite's ErrorRate: 11.0%
 148-th training, BestElite's ErrorRate: 11.0%
 149-th training, BestElite's ErrorRate: 11.0%
 150-th training, BestElite's ErrorRate: 11.0%
 151-th training, BestElite's ErrorRate: 11.0%
 152-th training, BestElite's ErrorRate: 11.0%
 153-th training, BestElite's ErrorRate: 11.0%
 154-th training, BestElite's ErrorRate: 11.0%
 155-th training, BestElite's ErrorRate: 11.0%
 156-th training, BestElite's ErrorRate: 11.0%
 157-th training, BestElite's ErrorRate: 11.0%
 158-th training, BestElite's ErrorRate: 11.0%
 159-th training, BestElite's ErrorRate: 11.0%
 160-th training, BestElite's ErrorRate: 11.0%
 161-th training, BestElite's ErrorRate: 11.0%
 162-th training, BestElite's ErrorRate: 11.0%
 163-th training, BestElite's ErrorRate: 11.0%
 164-th training, BestElite's ErrorRate: 11.0%
 165-th training, BestElite's ErrorRate: 11.0%
 166-th training, BestElite's ErrorRate: 11.0%
 167-th training, BestElite's ErrorRate: 11.0%
 168-th training, BestElite's ErrorRate: 11.0%
 169-th training, BestElite's ErrorRate: 11.0%
 170-th training, BestElite's ErrorRate: 11.0%
 171-th training, BestElite's ErrorRate: 11.0%
 172-th training, BestElite's ErrorRate: 11.0%
 173-th training, BestElite's ErrorRate: 11.0%
 174-th training, BestElite's ErrorRate: 11.0%
 175-th training, BestElite's ErrorRate: 12.0%
 176-th training, BestElite's ErrorRate: 12.0%
 177-th training, BestElite's ErrorRate: 12.0%
 178-th training, BestElite's ErrorRate: 12.0%
 179-th training, BestElite's ErrorRate: 12.0%
 180-th training, BestElite's ErrorRate: 12.0%
 181-th training, BestElite's ErrorRate: 12.0%
 182-th training, BestElite's ErrorRate: 11.0%
 183-th training, BestElite's ErrorRate: 11.0%
 184-th training, BestElite's ErrorRate: 11.0%
 185-th training, BestElite's ErrorRate: 11.0%
 186-th training, BestElite's ErrorRate: 11.0%
 187-th training, BestElite's ErrorRate: 11.0%
 188-th training, BestElite's ErrorRate: 11.0%
 189-th training, BestElite's ErrorRate: 11.0%
 190-th training, BestElite's ErrorRate: 11.0%
 191-th training, BestElite's ErrorRate: 11.0%
 192-th training, BestElite's ErrorRate: 11.0%
 193-th training, BestElite's ErrorRate: 11.0%
 194-th training, BestElite's ErrorRate: 11.0%
 195-th training, BestElite's ErrorRate: 11.0%
 196-th training, BestElite's ErrorRate: 11.0%
 197-th training, BestElite's ErrorRate: 11.0%
 198-th training, BestElite's ErrorRate: 11.0%
 199-th training, BestElite's ErrorRate: 11.0%
 200-th training, BestElite's ErrorRate: 11.0%
 201-th training, BestElite's ErrorRate: 11.0%
 202-th training, BestElite's ErrorRate: 11.0%
 203-th training, BestElite's ErrorRate: 11.0%
 204-th training, BestElite's ErrorRate: 11.0%
 205-th training, BestElite's ErrorRate: 11.0%
 206-th training, BestElite's ErrorRate: 11.0%
 207-th training, BestElite's ErrorRate: 11.0%
 208-th training, BestElite's ErrorRate: 11.0%
 209-th training, BestElite's ErrorRate: 11.0%
 210-th training, BestElite's ErrorRate: 11.0%
 211-th training, BestElite's ErrorRate: 11.0%
 212-th training, BestElite's ErrorRate: 11.0%
 213-th training, BestElite's ErrorRate: 11.0%
 214-th training, BestElite's ErrorRate: 11.0%
 215-th training, BestElite's ErrorRate: 11.0%
 216-th training, BestElite's ErrorRate: 11.0%
 217-th training, BestElite's ErrorRate: 11.0%
 218-th training, BestElite's ErrorRate: 11.0%
 219-th training, BestElite's ErrorRate: 12.0%
 220-th training, BestElite's ErrorRate: 12.0%
 221-th training, BestElite's ErrorRate: 12.0%
 222-th training, BestElite's ErrorRate: 12.0%
 223-th training, BestElite's ErrorRate: 12.0%
 224-th training, BestElite's ErrorRate: 12.0%
 225-th training, BestElite's ErrorRate: 12.0%
 226-th training, BestElite's ErrorRate: 12.0%
 227-th training, BestElite's ErrorRate: 12.0%
 228-th training, BestElite's ErrorRate: 12.0%
 229-th training, BestElite's ErrorRate: 12.0%
 230-th training, BestElite's ErrorRate: 12.0%
 231-th training, BestElite's ErrorRate: 12.0%
 232-th training, BestElite's ErrorRate: 12.0%
 233-th training, BestElite's ErrorRate: 12.0%
 234-th training, BestElite's ErrorRate: 12.0%
 235-th training, BestElite's ErrorRate: 12.0%
 236-th training, BestElite's ErrorRate: 12.0%
 237-th training, BestElite's ErrorRate: 12.0%
 238-th training, BestElite's ErrorRate: 12.0%
 239-th training, BestElite's ErrorRate: 12.0%
 240-th training, BestElite's ErrorRate: 12.0%
 241-th training, BestElite's ErrorRate: 12.0%
 242-th training, BestElite's ErrorRate: 12.0%
 243-th training, BestElite's ErrorRate: 12.0%
 244-th training, BestElite's ErrorRate: 12.0%
 245-th training, BestElite's ErrorRate: 12.0%
 246-th training, BestElite's ErrorRate: 12.0%
 247-th training, BestElite's ErrorRate: 12.0%
 248-th training, BestElite's ErrorRate: 12.0%
 249-th training, BestElite's ErrorRate: 12.0%
 250-th training, BestElite's ErrorRate: 12.0%
 251-th training, BestElite's ErrorRate: 12.0%
 252-th training, BestElite's ErrorRate: 12.0%
 253-th training, BestElite's ErrorRate: 12.0%
 254-th training, BestElite's ErrorRate: 12.0%
 255-th training, BestElite's ErrorRate: 12.0%
 256-th training, BestElite's ErrorRate: 12.0%
 257-th training, BestElite's ErrorRate: 12.0%
 258-th training, BestElite's ErrorRate: 12.0%
 259-th training, BestElite's ErrorRate: 12.0%
 260-th training, BestElite's ErrorRate: 12.0%
 261-th training, BestElite's ErrorRate: 12.0%
 262-th training, BestElite's ErrorRate: 12.0%
 263-th training, BestElite's ErrorRate: 12.0%
 264-th training, BestElite's ErrorRate: 12.0%
 265-th training, BestElite's ErrorRate: 12.0%
 266-th training, BestElite's ErrorRate: 12.0%
 267-th training, BestElite's ErrorRate: 12.0%
 268-th training, BestElite's ErrorRate: 12.0%
 269-th training, BestElite's ErrorRate: 12.0%
 270-th training, BestElite's ErrorRate: 12.0%
 271-th training, BestElite's ErrorRate: 12.0%
 272-th training, BestElite's ErrorRate: 12.0%
 273-th training, BestElite's ErrorRate: 12.0%
 274-th training, BestElite's ErrorRate: 12.0%
 275-th training, BestElite's ErrorRate: 12.0%
 276-th training, BestElite's ErrorRate: 12.0%
 277-th training, BestElite's ErrorRate: 12.0%
 278-th training, BestElite's ErrorRate: 12.0%
 279-th training, BestElite's ErrorRate: 12.0%
 280-th training, BestElite's ErrorRate: 12.0%
 281-th training, BestElite's ErrorRate: 12.0%
 282-th training, BestElite's ErrorRate: 12.0%
 283-th training, BestElite's ErrorRate: 12.0%
 284-th training, BestElite's ErrorRate: 12.0%
 285-th training, BestElite's ErrorRate: 12.0%
 286-th training, BestElite's ErrorRate: 12.0%
 287-th training, BestElite's ErrorRate: 12.0%
 288-th training, BestElite's ErrorRate: 12.0%
 289-th training, BestElite's ErrorRate: 12.0%
 290-th training, BestElite's ErrorRate: 12.0%
 291-th training, BestElite's ErrorRate: 12.0%
 292-th training, BestElite's ErrorRate: 12.0%
 293-th training, BestElite's ErrorRate: 12.0%
 294-th training, BestElite's ErrorRate: 12.0%
 295-th training, BestElite's ErrorRate: 12.0%
 296-th training, BestElite's ErrorRate: 12.0%
 297-th training, BestElite's ErrorRate: 12.0%
 298-th training, BestElite's ErrorRate: 12.0%
 299-th training, BestElite's ErrorRate: 12.0%
 300-th training, BestElite's ErrorRate: 12.0%
 301-th training, BestElite's ErrorRate: 12.0%
 302-th training, BestElite's ErrorRate: 12.0%
 303-th training, BestElite's ErrorRate: 12.0%
 304-th training, BestElite's ErrorRate: 12.0%
 305-th training, BestElite's ErrorRate: 12.0%
 306-th training, BestElite's ErrorRate: 12.0%
 307-th training, BestElite's ErrorRate: 12.0%
 308-th training, BestElite's ErrorRate: 12.0%
 309-th training, BestElite's ErrorRate: 12.0%
 310-th training, BestElite's ErrorRate: 12.0%
 311-th training, BestElite's ErrorRate: 12.0%
 312-th training, BestElite's ErrorRate: 12.0%
 313-th training, BestElite's ErrorRate: 12.0%
 314-th training, BestElite's ErrorRate: 12.0%
 315-th training, BestElite's ErrorRate: 12.0%
 316-th training, BestElite's ErrorRate: 12.0%
 317-th training, BestElite's ErrorRate: 12.0%
 318-th training, BestElite's ErrorRate: 12.0%
 319-th training, BestElite's ErrorRate: 12.0%
 320-th training, BestElite's ErrorRate: 12.0%
 321-th training, BestElite's ErrorRate: 12.0%
 322-th training, BestElite's ErrorRate: 12.0%
 323-th training, BestElite's ErrorRate: 12.0%
 324-th training, BestElite's ErrorRate: 12.0%
 325-th training, BestElite's ErrorRate: 12.0%
 326-th training, BestElite's ErrorRate: 12.0%
 327-th training, BestElite's ErrorRate: 12.0%
 328-th training, BestElite's ErrorRate: 12.0%
 329-th training, BestElite's ErrorRate: 12.0%
 330-th training, BestElite's ErrorRate: 12.0%
 331-th training, BestElite's ErrorRate: 12.0%
 332-th training, BestElite's ErrorRate: 12.0%
 333-th training, BestElite's ErrorRate: 12.0%
 334-th training, BestElite's ErrorRate: 12.0%
 335-th training, BestElite's ErrorRate: 12.0%
 336-th training, BestElite's ErrorRate: 12.0%
 337-th training, BestElite's ErrorRate: 12.0%
 338-th training, BestElite's ErrorRate: 12.0%
 339-th training, BestElite's ErrorRate: 12.0%
 340-th training, BestElite's ErrorRate: 12.0%
 341-th training, BestElite's ErrorRate: 12.0%
 342-th training, BestElite's ErrorRate: 12.0%
 343-th training, BestElite's ErrorRate: 12.0%
 344-th training, BestElite's ErrorRate: 12.0%
 345-th training, BestElite's ErrorRate: 12.0%
 346-th training, BestElite's ErrorRate: 12.0%
 347-th training, BestElite's ErrorRate: 12.0%
 348-th training, BestElite's ErrorRate: 12.0%
 349-th training, BestElite's ErrorRate: 12.0%
 350-th training, BestElite's ErrorRate: 12.0%
 351-th training, BestElite's ErrorRate: 12.0%
 352-th training, BestElite's ErrorRate: 12.0%
 353-th training, BestElite's ErrorRate: 12.0%
 354-th training, BestElite's ErrorRate: 12.0%
 355-th training, BestElite's ErrorRate: 12.0%
 356-th training, BestElite's ErrorRate: 12.0%
 357-th training, BestElite's ErrorRate: 12.0%
 358-th training, BestElite's ErrorRate: 12.0%
 359-th training, BestElite's ErrorRate: 12.0%
 360-th training, BestElite's ErrorRate: 12.0%
 361-th training, BestElite's ErrorRate: 12.0%
 362-th training, BestElite's ErrorRate: 12.0%
 363-th training, BestElite's ErrorRate: 12.0%
 364-th training, BestElite's ErrorRate: 12.0%
 365-th training, BestElite's ErrorRate: 12.0%
 366-th training, BestElite's ErrorRate: 12.0%
 367-th training, BestElite's ErrorRate: 12.0%
 368-th training, BestElite's ErrorRate: 12.0%
 369-th training, BestElite's ErrorRate: 12.0%
 370-th training, BestElite's ErrorRate: 12.0%
 371-th training, BestElite's ErrorRate: 12.0%
 372-th training, BestElite's ErrorRate: 11.0%
 373-th training, BestElite's ErrorRate: 11.0%
 374-th training, BestElite's ErrorRate: 10.0%
 375-th training, BestElite's ErrorRate: 10.0%
 376-th training, BestElite's ErrorRate: 10.0%
 377-th training, BestElite's ErrorRate: 10.0%
 378-th training, BestElite's ErrorRate: 10.0%
 379-th training, BestElite's ErrorRate: 10.0%
 380-th training, BestElite's ErrorRate: 10.0%
 381-th training, BestElite's ErrorRate: 10.0%
 382-th training, BestElite's ErrorRate: 10.0%
 383-th training, BestElite's ErrorRate: 10.0%
 384-th training, BestElite's ErrorRate: 10.0%
 385-th training, BestElite's ErrorRate: 10.0%
 386-th training, BestElite's ErrorRate: 10.0%
 387-th training, BestElite's ErrorRate: 11.0%
 388-th training, BestElite's ErrorRate: 11.0%
 389-th training, BestElite's ErrorRate: 11.0%
 390-th training, BestElite's ErrorRate: 11.0%
 391-th training, BestElite's ErrorRate: 11.0%
 392-th training, BestElite's ErrorRate: 12.0%
 393-th training, BestElite's ErrorRate: 12.0%
 394-th training, BestElite's ErrorRate: 12.0%
 395-th training, BestElite's ErrorRate: 12.0%
 396-th training, BestElite's ErrorRate: 12.0%
 397-th training, BestElite's ErrorRate: 12.0%
 398-th training, BestElite's ErrorRate: 12.0%
 399-th training, BestElite's ErrorRate: 12.0%
 400-th training, BestElite's ErrorRate: 12.0%
 401-th training, BestElite's ErrorRate: 12.0%
 402-th training, BestElite's ErrorRate: 12.0%
 403-th training, BestElite's ErrorRate: 12.0%
 404-th training, BestElite's ErrorRate: 12.0%
 405-th training, BestElite's ErrorRate: 12.0%
 406-th training, BestElite's ErrorRate: 12.0%
 407-th training, BestElite's ErrorRate: 12.0%
 408-th training, BestElite's ErrorRate: 12.0%
 409-th training, BestElite's ErrorRate: 12.0%
 410-th training, BestElite's ErrorRate: 12.0%
 411-th training, BestElite's ErrorRate: 12.0%
 412-th training, BestElite's ErrorRate: 12.0%
 413-th training, BestElite's ErrorRate: 12.0%
 414-th training, BestElite's ErrorRate: 12.0%
 415-th training, BestElite's ErrorRate: 12.0%
 416-th training, BestElite's ErrorRate: 12.0%
 417-th training, BestElite's ErrorRate: 12.0%
 418-th training, BestElite's ErrorRate: 12.0%
 419-th training, BestElite's ErrorRate: 12.0%
 420-th training, BestElite's ErrorRate: 12.0%
 421-th training, BestElite's ErrorRate: 12.0%
 422-th training, BestElite's ErrorRate: 12.0%
 423-th training, BestElite's ErrorRate: 11.0%
 424-th training, BestElite's ErrorRate: 11.0%
 425-th training, BestElite's ErrorRate: 11.0%
 426-th training, BestElite's ErrorRate: 11.0%
 427-th training, BestElite's ErrorRate: 11.0%
 428-th training, BestElite's ErrorRate: 11.0%
 429-th training, BestElite's ErrorRate: 11.0%
 430-th training, BestElite's ErrorRate: 11.0%
 431-th training, BestElite's ErrorRate: 10.0%
 432-th training, BestElite's ErrorRate: 10.0%
 433-th training, BestElite's ErrorRate: 10.0%
 434-th training, BestElite's ErrorRate: 10.0%
 435-th training, BestElite's ErrorRate: 10.0%
 436-th training, BestElite's ErrorRate: 10.0%
 437-th training, BestElite's ErrorRate: 10.0%
 438-th training, BestElite's ErrorRate: 10.0%
 439-th training, BestElite's ErrorRate: 10.0%
 440-th training, BestElite's ErrorRate: 10.0%
 441-th training, BestElite's ErrorRate: 10.0%
 442-th training, BestElite's ErrorRate: 10.0%
 443-th training, BestElite's ErrorRate: 10.0%
 444-th training, BestElite's ErrorRate: 10.0%
 445-th training, BestElite's ErrorRate: 10.0%
 446-th training, BestElite's ErrorRate: 10.0%
 447-th training, BestElite's ErrorRate: 10.0%
 448-th training, BestElite's ErrorRate: 10.0%
 449-th training, BestElite's ErrorRate: 10.0%
 450-th training, BestElite's ErrorRate: 10.0%
 451-th training, BestElite's ErrorRate: 10.0%
 452-th training, BestElite's ErrorRate: 10.0%
 453-th training, BestElite's ErrorRate: 10.0%
 454-th training, BestElite's ErrorRate: 10.0%
 455-th training, BestElite's ErrorRate: 10.0%
 456-th training, BestElite's ErrorRate: 10.0%
 457-th training, BestElite's ErrorRate: 10.0%
 458-th training, BestElite's ErrorRate: 10.0%
 459-th training, BestElite's ErrorRate: 10.0%
 460-th training, BestElite's ErrorRate: 10.0%
 461-th training, BestElite's ErrorRate: 10.0%
 462-th training, BestElite's ErrorRate: 10.0%
 463-th training, BestElite's ErrorRate: 10.0%
 464-th training, BestElite's ErrorRate: 10.0%
 465-th training, BestElite's ErrorRate: 10.0%
 466-th training, BestElite's ErrorRate: 10.0%
 467-th training, BestElite's ErrorRate: 10.0%
 468-th training, BestElite's ErrorRate: 10.0%
 469-th training, BestElite's ErrorRate: 10.0%
 470-th training, BestElite's ErrorRate: 10.0%
 471-th training, BestElite's ErrorRate: 10.0%
 472-th training, BestElite's ErrorRate: 10.0%
 473-th training, BestElite's ErrorRate: 10.0%
 474-th training, BestElite's ErrorRate: 10.0%
 475-th training, BestElite's ErrorRate: 10.0%
 476-th training, BestElite's ErrorRate: 10.0%
 477-th training, BestElite's ErrorRate: 10.0%
 478-th training, BestElite's ErrorRate: 11.0%
 479-th training, BestElite's ErrorRate: 11.0%
 480-th training, BestElite's ErrorRate: 11.0%
 481-th training, BestElite's ErrorRate: 11.0%
 482-th training, BestElite's ErrorRate: 11.0%
 483-th training, BestElite's ErrorRate: 11.0%
 484-th training, BestElite's ErrorRate: 11.0%
 485-th training, BestElite's ErrorRate: 11.0%
 486-th training, BestElite's ErrorRate: 11.0%
 487-th training, BestElite's ErrorRate: 11.0%
 488-th training, BestElite's ErrorRate: 11.0%
 489-th training, BestElite's ErrorRate: 11.0%
 490-th training, BestElite's ErrorRate: 11.0%
 491-th training, BestElite's ErrorRate: 11.0%
 492-th training, BestElite's ErrorRate: 11.0%
 493-th training, BestElite's ErrorRate: 11.0%
 494-th training, BestElite's ErrorRate: 11.0%
 495-th training, BestElite's ErrorRate: 11.0%
 496-th training, BestElite's ErrorRate: 11.0%
 497-th training, BestElite's ErrorRate: 11.0%
 498-th training, BestElite's ErrorRate: 11.0%
 499-th training, BestElite's ErrorRate: 11.0%
 500-th training, BestElite's ErrorRate: 11.0%
 501-th training, BestElite's ErrorRate: 11.0%
 502-th training, BestElite's ErrorRate: 11.0%
 503-th training, BestElite's ErrorRate: 11.0%
 504-th training, BestElite's ErrorRate: 11.0%
 505-th training, BestElite's ErrorRate: 11.0%
 506-th training, BestElite's ErrorRate: 11.0%
 507-th training, BestElite's ErrorRate: 11.0%
 508-th training, BestElite's ErrorRate: 11.0%
 509-th training, BestElite's ErrorRate: 11.0%
 510-th training, BestElite's ErrorRate: 11.0%
 511-th training, BestElite's ErrorRate: 11.0%
 512-th training, BestElite's ErrorRate: 11.0%
 513-th training, BestElite's ErrorRate: 11.0%
 514-th training, BestElite's ErrorRate: 11.0%
 515-th training, BestElite's ErrorRate: 11.0%
 516-th training, BestElite's ErrorRate: 11.0%
 517-th training, BestElite's ErrorRate: 11.0%
 518-th training, BestElite's ErrorRate: 11.0%
 519-th training, BestElite's ErrorRate: 11.0%
 520-th training, BestElite's ErrorRate: 11.0%
 521-th training, BestElite's ErrorRate: 11.0%
 522-th training, BestElite's ErrorRate: 11.0%
 523-th training, BestElite's ErrorRate: 11.0%
 524-th training, BestElite's ErrorRate: 11.0%
 525-th training, BestElite's ErrorRate: 11.0%
 526-th training, BestElite's ErrorRate: 11.0%
 527-th training, BestElite's ErrorRate: 11.0%
 528-th training, BestElite's ErrorRate: 11.0%
 529-th training, BestElite's ErrorRate: 11.0%
 530-th training, BestElite's ErrorRate: 11.0%
 531-th training, BestElite's ErrorRate: 11.0%
 532-th training, BestElite's ErrorRate: 11.0%
 533-th training, BestElite's ErrorRate: 11.0%
 534-th training, BestElite's ErrorRate: 11.0%
 535-th training, BestElite's ErrorRate: 11.0%
 536-th training, BestElite's ErrorRate: 11.0%
 537-th training, BestElite's ErrorRate: 11.0%
 538-th training, BestElite's ErrorRate: 11.0%
 539-th training, BestElite's ErrorRate: 11.0%
 540-th training, BestElite's ErrorRate: 11.0%
 541-th training, BestElite's ErrorRate: 11.0%
 542-th training, BestElite's ErrorRate: 11.0%
 543-th training, BestElite's ErrorRate: 11.0%
 544-th training, BestElite's ErrorRate: 11.0%
 545-th training, BestElite's ErrorRate: 11.0%
 546-th training, BestElite's ErrorRate: 11.0%
 547-th training, BestElite's ErrorRate: 11.0%
 548-th training, BestElite's ErrorRate: 11.0%
 549-th training, BestElite's ErrorRate: 11.0%
 550-th training, BestElite's ErrorRate: 11.0%
 551-th training, BestElite's ErrorRate: 11.0%
 552-th training, BestElite's ErrorRate: 11.0%
 553-th training, BestElite's ErrorRate: 11.0%
 554-th training, BestElite's ErrorRate: 11.0%
 555-th training, BestElite's ErrorRate: 11.0%
 556-th training, BestElite's ErrorRate: 11.0%
 557-th training, BestElite's ErrorRate: 11.0%
 558-th training, BestElite's ErrorRate: 11.0%
 559-th training, BestElite's ErrorRate: 11.0%
 560-th training, BestElite's ErrorRate: 11.0%
 561-th training, BestElite's ErrorRate: 11.0%
 562-th training, BestElite's ErrorRate: 11.0%
 563-th training, BestElite's ErrorRate: 11.0%
 564-th training, BestElite's ErrorRate: 11.0%
 565-th training, BestElite's ErrorRate: 11.0%
 566-th training, BestElite's ErrorRate: 11.0%
 567-th training, BestElite's ErrorRate: 11.0%
 568-th training, BestElite's ErrorRate: 11.0%
 569-th training, BestElite's ErrorRate: 11.0%
 570-th training, BestElite's ErrorRate: 11.0%
 571-th training, BestElite's ErrorRate: 11.0%
 572-th training, BestElite's ErrorRate: 11.0%
 573-th training, BestElite's ErrorRate: 11.0%
 574-th training, BestElite's ErrorRate: 11.0%
 575-th training, BestElite's ErrorRate: 11.0%
 576-th training, BestElite's ErrorRate: 11.0%
 577-th training, BestElite's ErrorRate: 11.0%
 578-th training, BestElite's ErrorRate: 11.0%
 579-th training, BestElite's ErrorRate: 11.0%
 580-th training, BestElite's ErrorRate: 11.0%
