Initial GenePool BestElite's Error Rate: 42.0%

   1-th training, BestElite's ErrorRate: 11.0%
 127-th training, BestElite's ErrorRate: 10.0%
 128-th training, BestElite's ErrorRate: 10.0%
 129-th training, BestElite's ErrorRate: 10.0%
 130-th training, BestElite's ErrorRate: 10.0%
 131-th training, BestElite's ErrorRate: 10.0%
 132-th training, BestElite's ErrorRate: 10.0%
 133-th training, BestElite's ErrorRate: 10.0%
 134-th training, BestElite's ErrorRate: 10.0%
 135-th training, BestElite's ErrorRate: 10.0%
 136-th training, BestElite's ErrorRate: 10.0%
 137-th training, BestElite's ErrorRate: 10.0%
 138-th training, BestElite's ErrorRate: 10.0%
 139-th training, BestElite's ErrorRate: 10.0%
 140-th training, BestElite's ErrorRate: 10.0%
 141-th training, BestElite's ErrorRate: 10.0%
 142-th training, BestElite's ErrorRate: 10.0%
 143-th training, BestElite's ErrorRate: 10.0%
 144-th training, BestElite's ErrorRate: 10.0%
 145-th training, BestElite's ErrorRate: 10.0%
 146-th training, BestElite's ErrorRate: 10.0%
 147-th training, BestElite's ErrorRate: 10.0%
 148-th training, BestElite's ErrorRate: 10.0%
 149-th training, BestElite's ErrorRate: 10.0%
 150-th training, BestElite's ErrorRate: 10.0%
 151-th training, BestElite's ErrorRate: 9.0%
 152-th training, BestElite's ErrorRate: 9.0%
 153-th training, BestElite's ErrorRate: 9.0%
 154-th training, BestElite's ErrorRate: 9.0%
 155-th training, BestElite's ErrorRate: 9.0%
 156-th training, BestElite's ErrorRate: 9.0%
 157-th training, BestElite's ErrorRate: 9.0%
 158-th training, BestElite's ErrorRate: 9.0%
 159-th training, BestElite's ErrorRate: 9.0%
 160-th training, BestElite's ErrorRate: 9.0%
 161-th training, BestElite's ErrorRate: 9.0%
 162-th training, BestElite's ErrorRate: 9.0%
 163-th training, BestElite's ErrorRate: 9.0%
 164-th training, BestElite's ErrorRate: 9.0%
 165-th training, BestElite's ErrorRate: 9.0%
 166-th training, BestElite's ErrorRate: 9.0%
 167-th training, BestElite's ErrorRate: 9.0%
 168-th training, BestElite's ErrorRate: 9.0%
 169-th training, BestElite's ErrorRate: 9.0%
 170-th training, BestElite's ErrorRate: 9.0%
 171-th training, BestElite's ErrorRate: 9.0%
 172-th training, BestElite's ErrorRate: 9.0%
 173-th training, BestElite's ErrorRate: 9.0%
 174-th training, BestElite's ErrorRate: 9.0%
 175-th training, BestElite's ErrorRate: 9.0%
 176-th training, BestElite's ErrorRate: 9.0%
 177-th training, BestElite's ErrorRate: 9.0%
 178-th training, BestElite's ErrorRate: 9.0%
 179-th training, BestElite's ErrorRate: 9.0%
 180-th training, BestElite's ErrorRate: 9.0%
 181-th training, BestElite's ErrorRate: 9.0%
 182-th training, BestElite's ErrorRate: 9.0%
 183-th training, BestElite's ErrorRate: 11.0%
 184-th training, BestElite's ErrorRate: 11.0%
 185-th training, BestElite's ErrorRate: 11.0%
 186-th training, BestElite's ErrorRate: 11.0%
 187-th training, BestElite's ErrorRate: 11.0%
 188-th training, BestElite's ErrorRate: 11.0%
 189-th training, BestElite's ErrorRate: 11.0%
 190-th training, BestElite's ErrorRate: 11.0%
 191-th training, BestElite's ErrorRate: 11.0%
 192-th training, BestElite's ErrorRate: 11.0%
 193-th training, BestElite's ErrorRate: 11.0%
 194-th training, BestElite's ErrorRate: 11.0%
 195-th training, BestElite's ErrorRate: 11.0%
 196-th training, BestElite's ErrorRate: 11.0%
 197-th training, BestElite's ErrorRate: 11.0%
 198-th training, BestElite's ErrorRate: 11.0%
 199-th training, BestElite's ErrorRate: 11.0%
 200-th training, BestElite's ErrorRate: 11.0%
 201-th training, BestElite's ErrorRate: 11.0%
 202-th training, BestElite's ErrorRate: 11.0%
 203-th training, BestElite's ErrorRate: 11.0%
 204-th training, BestElite's ErrorRate: 11.0%
 205-th training, BestElite's ErrorRate: 11.0%
 206-th training, BestElite's ErrorRate: 11.0%
 207-th training, BestElite's ErrorRate: 11.0%
 208-th training, BestElite's ErrorRate: 11.0%
 209-th training, BestElite's ErrorRate: 11.0%
 210-th training, BestElite's ErrorRate: 11.0%
 211-th training, BestElite's ErrorRate: 11.0%
 212-th training, BestElite's ErrorRate: 11.0%
 213-th training, BestElite's ErrorRate: 11.0%
 214-th training, BestElite's ErrorRate: 11.0%
 215-th training, BestElite's ErrorRate: 11.0%
 216-th training, BestElite's ErrorRate: 11.0%
 217-th training, BestElite's ErrorRate: 11.0%
 218-th training, BestElite's ErrorRate: 11.0%
 219-th training, BestElite's ErrorRate: 11.0%
 220-th training, BestElite's ErrorRate: 11.0%
 221-th training, BestElite's ErrorRate: 11.0%
 222-th training, BestElite's ErrorRate: 11.0%
 223-th training, BestElite's ErrorRate: 11.0%
 224-th training, BestElite's ErrorRate: 11.0%
 225-th training, BestElite's ErrorRate: 11.0%
 226-th training, BestElite's ErrorRate: 11.0%
 227-th training, BestElite's ErrorRate: 11.0%
 228-th training, BestElite's ErrorRate: 11.0%
 229-th training, BestElite's ErrorRate: 11.0%
 230-th training, BestElite's ErrorRate: 11.0%
 231-th training, BestElite's ErrorRate: 11.0%
 232-th training, BestElite's ErrorRate: 9.0%
 233-th training, BestElite's ErrorRate: 9.0%
 234-th training, BestElite's ErrorRate: 9.0%
 235-th training, BestElite's ErrorRate: 9.0%
 236-th training, BestElite's ErrorRate: 9.0%
 237-th training, BestElite's ErrorRate: 9.0%
 238-th training, BestElite's ErrorRate: 9.0%
 239-th training, BestElite's ErrorRate: 9.0%
 240-th training, BestElite's ErrorRate: 9.0%
 241-th training, BestElite's ErrorRate: 11.0%
 242-th training, BestElite's ErrorRate: 11.0%
 243-th training, BestElite's ErrorRate: 11.0%
 244-th training, BestElite's ErrorRate: 11.0%
 245-th training, BestElite's ErrorRate: 11.0%
 246-th training, BestElite's ErrorRate: 11.0%
 247-th training, BestElite's ErrorRate: 11.0%
 248-th training, BestElite's ErrorRate: 11.0%
 249-th training, BestElite's ErrorRate: 11.0%
 250-th training, BestElite's ErrorRate: 11.0%
 251-th training, BestElite's ErrorRate: 11.0%
 252-th training, BestElite's ErrorRate: 11.0%
 253-th training, BestElite's ErrorRate: 11.0%
 254-th training, BestElite's ErrorRate: 11.0%
 255-th training, BestElite's ErrorRate: 11.0%
 256-th training, BestElite's ErrorRate: 11.0%
 257-th training, BestElite's ErrorRate: 11.0%
 258-th training, BestElite's ErrorRate: 11.0%
 259-th training, BestElite's ErrorRate: 11.0%
 260-th training, BestElite's ErrorRate: 11.0%
 261-th training, BestElite's ErrorRate: 11.0%
 262-th training, BestElite's ErrorRate: 11.0%
 263-th training, BestElite's ErrorRate: 11.0%
 264-th training, BestElite's ErrorRate: 11.0%
 265-th training, BestElite's ErrorRate: 11.0%
 266-th training, BestElite's ErrorRate: 11.0%
 267-th training, BestElite's ErrorRate: 11.0%
 268-th training, BestElite's ErrorRate: 11.0%
 269-th training, BestElite's ErrorRate: 11.0%
 270-th training, BestElite's ErrorRate: 11.0%
 271-th training, BestElite's ErrorRate: 11.0%
 272-th training, BestElite's ErrorRate: 11.0%
 273-th training, BestElite's ErrorRate: 11.0%
 274-th training, BestElite's ErrorRate: 11.0%
 275-th training, BestElite's ErrorRate: 11.0%
 276-th training, BestElite's ErrorRate: 11.0%
 277-th training, BestElite's ErrorRate: 11.0%
 278-th training, BestElite's ErrorRate: 11.0%
 279-th training, BestElite's ErrorRate: 11.0%
 280-th training, BestElite's ErrorRate: 11.0%
 281-th training, BestElite's ErrorRate: 11.0%
 282-th training, BestElite's ErrorRate: 11.0%
 283-th training, BestElite's ErrorRate: 11.0%
 284-th training, BestElite's ErrorRate: 11.0%
 285-th training, BestElite's ErrorRate: 11.0%
 286-th training, BestElite's ErrorRate: 11.0%
 287-th training, BestElite's ErrorRate: 11.0%
 288-th training, BestElite's ErrorRate: 11.0%
 289-th training, BestElite's ErrorRate: 11.0%
 290-th training, BestElite's ErrorRate: 11.0%
 291-th training, BestElite's ErrorRate: 11.0%
 292-th training, BestElite's ErrorRate: 11.0%
 293-th training, BestElite's ErrorRate: 11.0%
 294-th training, BestElite's ErrorRate: 11.0%
 295-th training, BestElite's ErrorRate: 11.0%
 296-th training, BestElite's ErrorRate: 11.0%
 297-th training, BestElite's ErrorRate: 11.0%
 298-th training, BestElite's ErrorRate: 11.0%
 299-th training, BestElite's ErrorRate: 11.0%
 300-th training, BestElite's ErrorRate: 11.0%
 301-th training, BestElite's ErrorRate: 11.0%
 302-th training, BestElite's ErrorRate: 11.0%
 303-th training, BestElite's ErrorRate: 11.0%
 304-th training, BestElite's ErrorRate: 11.0%
 305-th training, BestElite's ErrorRate: 11.0%
 306-th training, BestElite's ErrorRate: 11.0%
 307-th training, BestElite's ErrorRate: 10.0%
 308-th training, BestElite's ErrorRate: 10.0%
 309-th training, BestElite's ErrorRate: 10.0%
 310-th training, BestElite's ErrorRate: 10.0%
 311-th training, BestElite's ErrorRate: 10.0%
 312-th training, BestElite's ErrorRate: 10.0%
 313-th training, BestElite's ErrorRate: 10.0%
 314-th training, BestElite's ErrorRate: 10.0%
 315-th training, BestElite's ErrorRate: 10.0%
 316-th training, BestElite's ErrorRate: 10.0%
 317-th training, BestElite's ErrorRate: 10.0%
 318-th training, BestElite's ErrorRate: 10.0%
 319-th training, BestElite's ErrorRate: 10.0%
 320-th training, BestElite's ErrorRate: 10.0%
 321-th training, BestElite's ErrorRate: 10.0%
 322-th training, BestElite's ErrorRate: 10.0%
 323-th training, BestElite's ErrorRate: 10.0%
 324-th training, BestElite's ErrorRate: 10.0%
 325-th training, BestElite's ErrorRate: 10.0%
 326-th training, BestElite's ErrorRate: 10.0%
 327-th training, BestElite's ErrorRate: 10.0%
 328-th training, BestElite's ErrorRate: 10.0%
 329-th training, BestElite's ErrorRate: 10.0%
 330-th training, BestElite's ErrorRate: 10.0%
 331-th training, BestElite's ErrorRate: 10.0%
 332-th training, BestElite's ErrorRate: 10.0%
 333-th training, BestElite's ErrorRate: 10.0%
 334-th training, BestElite's ErrorRate: 10.0%
 335-th training, BestElite's ErrorRate: 10.0%
 336-th training, BestElite's ErrorRate: 10.0%
 337-th training, BestElite's ErrorRate: 10.0%
 338-th training, BestElite's ErrorRate: 10.0%
 339-th training, BestElite's ErrorRate: 10.0%
 340-th training, BestElite's ErrorRate: 10.0%
 341-th training, BestElite's ErrorRate: 10.0%
 342-th training, BestElite's ErrorRate: 10.0%
 343-th training, BestElite's ErrorRate: 10.0%
 344-th training, BestElite's ErrorRate: 10.0%
 345-th training, BestElite's ErrorRate: 10.0%
 346-th training, BestElite's ErrorRate: 10.0%
 347-th training, BestElite's ErrorRate: 10.0%
 348-th training, BestElite's ErrorRate: 10.0%
 349-th training, BestElite's ErrorRate: 10.0%
 350-th training, BestElite's ErrorRate: 10.0%
 351-th training, BestElite's ErrorRate: 10.0%
 352-th training, BestElite's ErrorRate: 10.0%
 353-th training, BestElite's ErrorRate: 10.0%
 354-th training, BestElite's ErrorRate: 10.0%
 355-th training, BestElite's ErrorRate: 10.0%
 356-th training, BestElite's ErrorRate: 10.0%
 357-th training, BestElite's ErrorRate: 10.0%
 358-th training, BestElite's ErrorRate: 10.0%
 359-th training, BestElite's ErrorRate: 10.0%
 360-th training, BestElite's ErrorRate: 10.0%
 361-th training, BestElite's ErrorRate: 10.0%
 362-th training, BestElite's ErrorRate: 10.0%
 363-th training, BestElite's ErrorRate: 10.0%
 364-th training, BestElite's ErrorRate: 10.0%
 365-th training, BestElite's ErrorRate: 10.0%
 366-th training, BestElite's ErrorRate: 10.0%
 367-th training, BestElite's ErrorRate: 10.0%
 368-th training, BestElite's ErrorRate: 9.0%

Final Result (368-th generation): 9.0% -> [1.9309755085383244, -2.6726152286599074, -124.6384877313883]

