Initial Perceptron Parameter's Error Rate: 50.0% -> [17.008437309084, 208.88779723500056, -261.07086504651943]

    1-th training, ErrorRate: 50.0% -> [16.008437309084, 140.88779723500056, -278.4708650465194]
   25-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   26-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   27-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   28-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   29-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   30-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   31-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   32-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   33-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   34-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   35-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   36-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   37-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   38-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   39-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   40-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   41-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   42-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   43-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   44-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   45-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   46-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   47-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   48-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   49-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   50-th training, ErrorRate: 50.0% -> [14.008437309084002, -13.612202764999438, -312.6708650465194]
   51-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   52-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   53-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   54-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   55-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   56-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   57-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   58-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   59-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   60-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   61-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   62-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   63-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   64-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   65-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   66-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   67-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   68-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   69-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   70-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   71-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   72-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   73-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   74-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   75-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   76-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   77-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   78-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   79-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   80-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   81-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   82-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   83-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   84-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   85-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   86-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   87-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   88-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   89-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   90-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   91-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   92-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   93-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   94-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   95-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   96-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   97-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   98-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
   99-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
  100-th training, ErrorRate: 45.0% -> [15.008437309084002, 93.88779723500056, -306.9708650465194]
  101-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  102-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  103-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  104-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  105-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  106-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  107-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  108-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  109-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  110-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  111-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  112-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  113-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  114-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  115-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  116-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  117-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  118-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  119-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  120-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  121-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  122-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  123-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  124-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  125-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  126-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  127-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  128-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  129-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  130-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  131-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  132-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  133-th training, ErrorRate: 26.0% -> [14.008437309084002, 25.887797235000562, -324.3708650465194]
  134-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  135-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  136-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  137-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  138-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  139-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  140-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  141-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  142-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  143-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  144-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  145-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  146-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  147-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  148-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  149-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  150-th training, ErrorRate: 50.0% -> [13.008437309084002, -43.912202764999435, -327.8708650465194]
  151-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  152-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  153-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  154-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  155-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  156-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  157-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  158-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  159-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  160-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  161-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  162-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  163-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  164-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  165-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  166-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  167-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  168-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  169-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  170-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  171-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  172-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  173-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  174-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  175-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  176-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  177-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  178-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  179-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  180-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  181-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  182-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  183-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  184-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  185-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  186-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  187-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  188-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  189-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  190-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  191-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  192-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  193-th training, ErrorRate: 19.0% -> [14.008437309084002, 63.587797235000565, -322.1708650465194]
  194-th training, ErrorRate: 50.0% -> [15.008437309084002, 126.28779723500057, -309.5708650465194]
  195-th training, ErrorRate: 50.0% -> [15.008437309084002, 126.28779723500057, -309.5708650465194]
  196-th training, ErrorRate: 50.0% -> [15.008437309084002, 126.28779723500057, -309.5708650465194]
  197-th training, ErrorRate: 50.0% -> [15.008437309084002, 126.28779723500057, -309.5708650465194]
  198-th training, ErrorRate: 50.0% -> [15.008437309084002, 126.28779723500057, -309.5708650465194]
  199-th training, ErrorRate: 50.0% -> [15.008437309084002, 126.28779723500057, -309.5708650465194]
  200-th training, ErrorRate: 50.0% -> [15.008437309084002, 126.28779723500057, -309.5708650465194]
  201-th training, ErrorRate: 16.0% -> [14.008437309084002, 58.28779723500057, -326.97086504651935]
  202-th training, ErrorRate: 16.0% -> [14.008437309084002, 58.28779723500057, -326.97086504651935]
  203-th training, ErrorRate: 16.0% -> [14.008437309084002, 58.28779723500057, -326.97086504651935]
  204-th training, ErrorRate: 16.0% -> [14.008437309084002, 58.28779723500057, -326.97086504651935]
  205-th training, ErrorRate: 16.0% -> [14.008437309084002, 58.28779723500057, -326.97086504651935]
  206-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  207-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  208-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  209-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  210-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  211-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  212-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  213-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  214-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  215-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  216-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  217-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  218-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  219-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  220-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  221-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  222-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  223-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  224-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  225-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  226-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  227-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  228-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  229-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  230-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  231-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  232-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  233-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  234-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  235-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  236-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  237-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  238-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  239-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  240-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  241-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  242-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  243-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  244-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  245-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  246-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  247-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  248-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  249-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  250-th training, ErrorRate: 50.0% -> [13.008437309084002, -21.812202764999427, -335.47086504651935]
  251-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  252-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  253-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  254-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  255-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  256-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  257-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  258-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  259-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  260-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  261-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  262-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  263-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  264-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  265-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  266-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  267-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  268-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  269-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  270-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  271-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  272-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  273-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  274-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  275-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  276-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  277-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  278-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  279-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  280-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  281-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  282-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  283-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  284-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  285-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  286-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  287-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
  288-th training, ErrorRate: 30.0% -> [14.008437309084002, 85.68779723500057, -329.77086504651936]
