Initial Perceptron Parameter's Error Rate: 50.0% -> [-733.2523296631203, 198.10434115215162, 766.609283154683]

    1-th training, ErrorRate: 50.0% -> [-733.7523296631203, 164.10434115215162, 757.909283154683]
   24-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   25-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   26-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   27-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   28-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   29-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   30-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   31-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   32-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   33-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   34-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   35-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   36-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   37-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   38-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   39-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   40-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   41-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   42-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   43-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   44-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   45-th training, ErrorRate: 52.0% -> [-739.2523296631203, -226.24565884784838, 663.7092831546828]
   46-th training, ErrorRate: 50.0% -> [-739.7523296631203, -262.1956588478484, 650.8092831546828]
   47-th training, ErrorRate: 50.0% -> [-739.7523296631203, -262.1956588478484, 650.8092831546828]
   48-th training, ErrorRate: 50.0% -> [-739.7523296631203, -262.1956588478484, 650.8092831546828]
   49-th training, ErrorRate: 50.0% -> [-739.7523296631203, -262.1956588478484, 650.8092831546828]
   50-th training, ErrorRate: 50.0% -> [-739.7523296631203, -262.1956588478484, 650.8092831546828]
   51-th training, ErrorRate: 53.0% -> [-739.2523296631203, -208.4456588478484, 653.6592831546828]
   52-th training, ErrorRate: 69.0% -> [-738.7523296631203, -159.5956588478484, 656.5092831546829]
   53-th training, ErrorRate: 81.0% -> [-738.2523296631203, -119.5956588478484, 658.8592831546829]
   54-th training, ErrorRate: 87.0% -> [-737.7523296631203, -88.44565884784839, 662.5592831546829]
   55-th training, ErrorRate: 74.0% -> [-737.2523296631203, -45.94565884784839, 666.3092831546829]
   56-th training, ErrorRate: 74.0% -> [-737.2523296631203, -45.94565884784839, 666.3092831546829]
   57-th training, ErrorRate: 74.0% -> [-737.2523296631203, -45.94565884784839, 666.3092831546829]
   58-th training, ErrorRate: 74.0% -> [-737.2523296631203, -45.94565884784839, 666.3092831546829]
   59-th training, ErrorRate: 74.0% -> [-737.2523296631203, -45.94565884784839, 666.3092831546829]
   60-th training, ErrorRate: 51.0% -> [-736.7523296631203, 8.65434115215161, 669.8092831546829]
   61-th training, ErrorRate: 51.0% -> [-736.7523296631203, 8.65434115215161, 669.8092831546829]
   62-th training, ErrorRate: 51.0% -> [-736.7523296631203, 8.65434115215161, 669.8092831546829]
   63-th training, ErrorRate: 51.0% -> [-736.7523296631203, 8.65434115215161, 669.8092831546829]
   64-th training, ErrorRate: 51.0% -> [-736.7523296631203, 8.65434115215161, 669.8092831546829]
   65-th training, ErrorRate: 51.0% -> [-736.7523296631203, 8.65434115215161, 669.8092831546829]
   66-th training, ErrorRate: 51.0% -> [-736.7523296631203, 8.65434115215161, 669.8092831546829]
   67-th training, ErrorRate: 51.0% -> [-736.7523296631203, 8.65434115215161, 669.8092831546829]
   68-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   69-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   70-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   71-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   72-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   73-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   74-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   75-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   76-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   77-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   78-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   79-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   80-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   81-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   82-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   83-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   84-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   85-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   86-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   87-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   88-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   89-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   90-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   91-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   92-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   93-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   94-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   95-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   96-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   97-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   98-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
   99-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
  100-th training, ErrorRate: 50.0% -> [-736.2523296631203, 52.204341152151606, 668.9592831546829]
  101-th training, ErrorRate: 51.0% -> [-736.7523296631203, 18.204341152151606, 660.2592831546829]
  102-th training, ErrorRate: 54.0% -> [-737.2523296631203, -14.195658847848392, 654.1592831546828]
  103-th training, ErrorRate: 77.0% -> [-737.7523296631203, -59.045658847848394, 643.1592831546828]
  104-th training, ErrorRate: 83.0% -> [-738.2523296631203, -94.4956588478484, 634.9592831546828]
  105-th training, ErrorRate: 78.0% -> [-738.7523296631203, -133.3456588478484, 624.3592831546828]
  106-th training, ErrorRate: 78.0% -> [-738.7523296631203, -133.3456588478484, 624.3592831546828]
  107-th training, ErrorRate: 78.0% -> [-738.7523296631203, -133.3456588478484, 624.3592831546828]
  108-th training, ErrorRate: 56.0% -> [-739.2523296631203, -175.0956588478484, 614.6592831546827]
  109-th training, ErrorRate: 56.0% -> [-739.2523296631203, -175.0956588478484, 614.6592831546827]
  110-th training, ErrorRate: 56.0% -> [-739.2523296631203, -175.0956588478484, 614.6592831546827]
  111-th training, ErrorRate: 56.0% -> [-739.2523296631203, -175.0956588478484, 614.6592831546827]
  112-th training, ErrorRate: 56.0% -> [-739.2523296631203, -175.0956588478484, 614.6592831546827]
  113-th training, ErrorRate: 56.0% -> [-739.2523296631203, -175.0956588478484, 614.6592831546827]
  114-th training, ErrorRate: 56.0% -> [-739.2523296631203, -175.0956588478484, 614.6592831546827]
  115-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  116-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  117-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  118-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  119-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  120-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  121-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  122-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  123-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  124-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  125-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  126-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  127-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  128-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  129-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  130-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  131-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  132-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  133-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  134-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  135-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  136-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  137-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  138-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  139-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  140-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  141-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  142-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  143-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  144-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  145-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  146-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  147-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  148-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  149-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  150-th training, ErrorRate: 50.0% -> [-739.7523296631203, -210.0956588478484, 603.8092831546827]
  151-th training, ErrorRate: 63.0% -> [-739.2523296631203, -156.3456588478484, 606.6592831546827]
  152-th training, ErrorRate: 81.0% -> [-738.7523296631203, -107.4956588478484, 609.5092831546827]
  153-th training, ErrorRate: 86.0% -> [-738.2523296631203, -67.4956588478484, 611.8592831546828]
  154-th training, ErrorRate: 70.0% -> [-737.7523296631203, -36.345658847848405, 615.5592831546828]
  155-th training, ErrorRate: 70.0% -> [-737.7523296631203, -36.345658847848405, 615.5592831546828]
  156-th training, ErrorRate: 70.0% -> [-737.7523296631203, -36.345658847848405, 615.5592831546828]
  157-th training, ErrorRate: 70.0% -> [-737.7523296631203, -36.345658847848405, 615.5592831546828]
  158-th training, ErrorRate: 70.0% -> [-737.7523296631203, -36.345658847848405, 615.5592831546828]
  159-th training, ErrorRate: 70.0% -> [-737.7523296631203, -36.345658847848405, 615.5592831546828]
  160-th training, ErrorRate: 51.0% -> [-737.2523296631203, 18.254341152151596, 619.0592831546828]
  161-th training, ErrorRate: 51.0% -> [-737.2523296631203, 18.254341152151596, 619.0592831546828]
  162-th training, ErrorRate: 51.0% -> [-737.2523296631203, 18.254341152151596, 619.0592831546828]
  163-th training, ErrorRate: 51.0% -> [-737.2523296631203, 18.254341152151596, 619.0592831546828]
  164-th training, ErrorRate: 51.0% -> [-737.2523296631203, 18.254341152151596, 619.0592831546828]
  165-th training, ErrorRate: 51.0% -> [-737.2523296631203, 18.254341152151596, 619.0592831546828]
  166-th training, ErrorRate: 51.0% -> [-737.2523296631203, 18.254341152151596, 619.0592831546828]
  167-th training, ErrorRate: 51.0% -> [-737.2523296631203, 18.254341152151596, 619.0592831546828]
  168-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  169-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  170-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  171-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  172-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  173-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  174-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  175-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  176-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  177-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  178-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  179-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  180-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  181-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  182-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  183-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  184-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  185-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  186-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  187-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  188-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  189-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  190-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  191-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  192-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  193-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  194-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  195-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  196-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  197-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  198-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  199-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  200-th training, ErrorRate: 50.0% -> [-736.7523296631203, 61.80434115215159, 618.2092831546828]
  201-th training, ErrorRate: 50.0% -> [-737.2523296631203, 27.804341152151594, 609.5092831546827]
  202-th training, ErrorRate: 53.0% -> [-737.7523296631203, -4.595658847848405, 603.4092831546827]
  203-th training, ErrorRate: 77.0% -> [-738.2523296631203, -49.44565884784841, 592.4092831546827]
  204-th training, ErrorRate: 83.0% -> [-738.7523296631203, -84.89565884784841, 584.2092831546827]
  205-th training, ErrorRate: 77.0% -> [-739.2523296631203, -123.7456588478484, 573.6092831546827]
  206-th training, ErrorRate: 77.0% -> [-739.2523296631203, -123.7456588478484, 573.6092831546827]
  207-th training, ErrorRate: 77.0% -> [-739.2523296631203, -123.7456588478484, 573.6092831546827]
  208-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  209-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  210-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  211-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  212-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  213-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  214-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  215-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  216-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  217-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  218-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  219-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  220-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  221-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  222-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  223-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  224-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  225-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  226-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  227-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  228-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  229-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  230-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  231-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  232-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  233-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  234-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  235-th training, ErrorRate: 54.0% -> [-739.7523296631203, -165.4956588478484, 563.9092831546826]
  236-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  237-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  238-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  239-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  240-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  241-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  242-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  243-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  244-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  245-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  246-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  247-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  248-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  249-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  250-th training, ErrorRate: 50.0% -> [-740.2523296631203, -193.8456588478484, 553.7092831546826]
  251-th training, ErrorRate: 65.0% -> [-739.7523296631203, -140.0956588478484, 556.5592831546826]
  252-th training, ErrorRate: 83.0% -> [-739.2523296631203, -91.2456588478484, 559.4092831546826]
  253-th training, ErrorRate: 78.0% -> [-738.7523296631203, -51.245658847848404, 561.7592831546826]
  254-th training, ErrorRate: 78.0% -> [-738.7523296631203, -51.245658847848404, 561.7592831546826]
  255-th training, ErrorRate: 53.0% -> [-738.2523296631203, -8.745658847848404, 565.5092831546826]
  256-th training, ErrorRate: 53.0% -> [-738.2523296631203, -8.745658847848404, 565.5092831546826]
  257-th training, ErrorRate: 53.0% -> [-738.2523296631203, -8.745658847848404, 565.5092831546826]
  258-th training, ErrorRate: 53.0% -> [-738.2523296631203, -8.745658847848404, 565.5092831546826]
  259-th training, ErrorRate: 53.0% -> [-738.2523296631203, -8.745658847848404, 565.5092831546826]
  260-th training, ErrorRate: 53.0% -> [-738.2523296631203, -8.745658847848404, 565.5092831546826]
  261-th training, ErrorRate: 53.0% -> [-738.2523296631203, -8.745658847848404, 565.5092831546826]
  262-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  263-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  264-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  265-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  266-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  267-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  268-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  269-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  270-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  271-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  272-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  273-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  274-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  275-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  276-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  277-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  278-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  279-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  280-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  281-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
  282-th training, ErrorRate: 50.0% -> [-737.7523296631203, 32.504341152151596, 565.8592831546827]
